image_id,question,answer,path
812eriB4t6L,What is the color of the shoes?,Grey,0b/0b1d58ca.jpg
812eriB4t6L,What is the shoe's brand?,Bourge,0b/0b1d58ca.jpg
812eriB4t6L,What material are the shoes made of?,Mesh,0b/0b1d58ca.jpg
812eriB4t6L,What type of closure do the shoes have?,Lace-up,0b/0b1d58ca.jpg
812eriB4t6L,What is the style of the shoes?,Running,0b/0b1d58ca.jpg
81P7VOnkRXL,What is the color of these shoes?,Grey,a5/a5ccc2a7.jpg
81P7VOnkRXL,What is the outer material?,Mesh,a5/a5ccc2a7.jpg
81P7VOnkRXL,What kind of shoes are these?,Running,a5/a5ccc2a7.jpg
81P7VOnkRXL,What is the brand name?,Symactive,a5/a5ccc2a7.jpg
81P7VOnkRXL,What type of toe?,Round,a5/a5ccc2a7.jpg
B13nlR1frXS,What shape is the ottoman?,Round,bc/bcb9f0cc.jpg
B13nlR1frXS,What is the product type?,Ottoman,bc/bcb9f0cc.jpg
B13nlR1frXS,What is the brand?,Rivet,bc/bcb9f0cc.jpg
B13nlR1frXS,What is the main color?,Caviar,bc/bcb9f0cc.jpg
B13nlR1frXS,What is the material?,Wood,bc/bcb9f0cc.jpg
81VOJJunfcL,What is the color of the phone case?,Multicolor,f0/f090a503.jpg
81VOJJunfcL,Is the cover 3D printed?,Yes,f0/f090a503.jpg
81VOJJunfcL,What is the brand of the product?,Solimo,f0/f090a503.jpg
81VOJJunfcL,What is the product type?,Case,f0/f090a503.jpg
81VOJJunfcL,What phone is this for?,Redmi,f0/f090a503.jpg
91bjXXP6RML,What color are the cups?,Blue,3d/3d00f7e4.jpg
91bjXXP6RML,What is the item made of?,Plastic,3d/3d00f7e4.jpg
91bjXXP6RML,How many pounds does the item weigh?,Six,3d/3d00f7e4.jpg
91bjXXP6RML,Are these cups reusable?,No,3d/3d00f7e4.jpg
91bjXXP6RML,How tall are the cups?,Eight,3d/3d00f7e4.jpg
71dxkG6bZPL,What is the brand name?,KUMAN,fa/fa0d4842.jpg
71dxkG6bZPL,Is the meter on or off?,Off,fa/fa0d4842.jpg
71dxkG6bZPL,What unit is the 10?,A,fa/fa0d4842.jpg
71dxkG6bZPL,What type of meter is this?,Multimeter,fa/fa0d4842.jpg
71dxkG6bZPL,How many counts does this meter have?,50000,fa/fa0d4842.jpg
71P02e4UgzL,What is the primary color?,Multicolor,ae/ae9a9e24.jpg
71P02e4UgzL,What is the brand?,Solimo,ae/ae9a9e24.jpg
71P02e4UgzL,Is this made of plastic?,Yes,ae/ae9a9e24.jpg
71P02e4UgzL,What is the model?,X2,ae/ae9a9e24.jpg
71P02e4UgzL,What is the item's weight in grams?,50,ae/ae9a9e24.jpg
61souM6k53L,What color is the hula hoop?,Pink,ed/ed370da1.jpg
61souM6k53L,What is the brand name?,Eono,ed/ed370da1.jpg
61souM6k53L,What is this used for?,Exercise,ed/ed370da1.jpg
61souM6k53L,What is the material?,Sponge,ed/ed370da1.jpg
61souM6k53L,How many sections?,Eight,ed/ed370da1.jpg
81O+lMZVl5L,What is the color of the shoe?,Blue,45/45c8c01f.jpg
81O+lMZVl5L,What is the outer material?,Canvas,45/45c8c01f.jpg
81O+lMZVl5L,What type of closure?,Slip,45/45c8c01f.jpg
81O+lMZVl5L,What kind of shoes are these?,Sneakers,45/45c8c01f.jpg
81O+lMZVl5L,What brand is this?,Symbol,45/45c8c01f.jpg
81WWaGU11cL,What is the shoe's color?,Tan,1a/1ae3a2be.jpg
81WWaGU11cL,What is the closure type?,Lace-Up,1a/1ae3a2be.jpg
81WWaGU11cL,What is the material?,Leather,1a/1ae3a2be.jpg
81WWaGU11cL,What is the style?,Derby,1a/1ae3a2be.jpg
81WWaGU11cL,What is the heel height?,One,1a/1ae3a2be.jpg
717ekebsrZL,What is the color of the item?,Multicoloured,c8/c8c351e5.jpg
717ekebsrZL,What phone is this case for?,Samsung,c8/c8c351e5.jpg
717ekebsrZL,What is the item's brand?,Solimo,c8/c8c351e5.jpg
717ekebsrZL,What is the cover made of?,Hard,c8/c8c351e5.jpg
717ekebsrZL,Is the product 3D printed?,Yes,c8/c8c351e5.jpg
61NmPKRIjUL,What type of shoe is this?,Loafer,c9/c97596d4.jpg
61NmPKRIjUL,What color is the shoe?,Black,c9/c97596d4.jpg
61NmPKRIjUL,What is the model?,Finnick,c9/c97596d4.jpg
61NmPKRIjUL,Is this footwear for men?,Yes,c9/c97596d4.jpg
61NmPKRIjUL,What is the brand?,find,c9/c97596d4.jpg
